N,M,Area,Ejecucion(ms),Busqueda(h(t)),Movimientos,Giros
2,2,4,0.7283,19.083333333333336,6,3
2,2,4,0.0749,17.916666666666668,6,3
2,2,4,0.0993,19.083333333333336,6,3
2,2,4,0.0842,17.333333333333332,6,3
2,2,4,0.0536,14.5,4,3
2,2,4,0.044,16.25,4,3
2,2,4,0.0741,15.083333333333332,4,3
2,2,4,0.0509,7.666666666666666,4,1
2,2,4,1.9831,16.75,6,3
2,2,4,0.096,16.25,4,3
2,2,4,0.0703,10.25,3,2
2,2,4,0.1186,7.666666666666666,4,1
2,2,4,0.1566,16.166666666666664,6,3
2,2,4,0.2937,14.5,4,3
2,2,4,0.1145,16.25,4,3
2,2,4,0.3164,17.333333333333332,6,3
2,2,4,0.082,10.25,3,2
2,2,4,0.0937,11.416666666666668,3,2
3,3,9,0.2641,44.583333333333336,14,8
3,3,9,0.1456,16.75,6,3
3,3,9,0.1611,18.999999999999996,8,3
3,3,9,0.2119,21.0,9,3
3,3,9,0.2783,38.333333333333336,14,6
3,3,9,0.2105,20.416666666666664,9,3
3,3,9,0.3256,54.08333333333334,13,10
3,3,9,0.071,8.166666666666666,6,1
4,4,16,0.1319,28.166666666666664,8,5
4,4,16,0.1552,20.666666666666664,10,3
4,4,16,0.1271,25.25,10,4
4,4,16,0.1942,30.66666666666666,9,6
4,4,16,0.2869,72.50000000000001,20,13
4,4,16,0.2937,100.25000000000003,23,18
4,4,16,0.2622,93.58333333333331,21,15
4,4,16,0.4059,26.999999999999996,10,4
4,4,16,0.0838,23.83333333333333,9,4
4,4,16,0.1371,26.66666666666666,9,5
5,5,25,0.3086,57.83333333333336,25,8
5,5,25,0.2795,103.24999999999999,33,19
5,5,25,0.1595,27.999999999999996,16,3
5,5,25,0.3129,124.41666666666667,34,20
5,5,25,0.199,93.41666666666669,32,15
5,5,25,0.2596,80.41666666666667,28,12
5,5,25,0.0645,27.833333333333336,11,4
5,5,25,0.1622,106.41666666666669,27,19
6,6,36,0.0822,34.833333333333336,16,5
6,6,36,0.0886,18.999999999999996,8,3
6,6,36,0.2018,33.083333333333336,18,4
6,6,36,0.506,96.0833333333333,40,14
6,6,36,0.099,20.33333333333333,11,3
6,6,36,0.0947,35.666666666666664,15,6
6,6,36,1.5751,278.5000000000002,92,46
6,6,36,0.5529,148.74999999999997,51,24
6,6,36,0.8334,174.91666666666663,57,29
7,7,49,0.3819,128.49999999999997,41,20
7,7,49,0.4636,150.83333333333337,57,24
7,7,49,0.339,112.74999999999996,38,18
7,7,49,0.2501,60.916666666666664,28,8
7,7,49,0.1561,36.50000000000001,18,5
7,7,49,0.235,112.99999999999991,48,17
7,7,49,1.2829,494.16666666666697,135,86
7,7,49,0.4527,236.91666666666654,73,40
7,7,49,0.118,71.16666666666666,30,10
7,7,49,0.0496,33.99999999999999,17,4
8,8,64,0.5535,189.25000000000003,64,32
8,8,64,0.4973,277.50000000000006,99,44
8,8,64,0.1986,93.24999999999997,31,14
8,8,64,0.1437,39.666666666666664,21,4
8,8,64,0.1363,52.41666666666666,26,6
8,8,64,0.1311,67.66666666666669,30,10
8,8,64,0.2296,159.25,50,28
8,8,64,0.1304,36.24999999999999,21,3
8,8,64,0.5546,254.33333333333348,87,41
8,8,64,0.1724,82.74999999999999,26,13
9,9,81,1.1429,205.66666666666669,72,34
9,9,81,1.1379,191.41666666666666,72,30
9,9,81,0.5614,279.75,93,48
9,9,81,0.124,19.833333333333332,9,3
9,9,81,0.3742,214.5000000000001,73,36
9,9,81,0.471,207.75,68,32
9,9,81,0.4786,100.99999999999999,39,15
9,9,81,0.1545,36.083333333333336,16,4
9,9,81,0.8153,510.66666666666714,171,80
9,9,81,0.1615,75.25,30,10
